case_id,track_id,selected_feature,grouped_shap_value
case_003,7Huqz8HsG7j2gk9INLvhRI,tempo_danceability,0.11234436184167862
case_003,7Huqz8HsG7j2gk9INLvhRI,acousticness_instrumentalness,0.09077256172895432
case_003,7Huqz8HsG7j2gk9INLvhRI,time_signature,0.11930587707411178
case_003,7Huqz8HsG7j2gk9INLvhRI,year_in_decade,-0.0739821121096611
case_003,7Huqz8HsG7j2gk9INLvhRI,duration_log,0.05509062111377716
case_003,7Huqz8HsG7j2gk9INLvhRI,instrumentalness,0.053208813071250916
case_003,7Huqz8HsG7j2gk9INLvhRI,energy,-0.04640943557024002
case_003,7Huqz8HsG7j2gk9INLvhRI,release_precision,0.07177022285759449
case_003,7Huqz8HsG7j2gk9INLvhRI,energy_liveness,0.03579380735754967
case_003,7Huqz8HsG7j2gk9INLvhRI,valence,0.023694317787885666
case_003,7Huqz8HsG7j2gk9INLvhRI,explicit,-0.0226488401331153
case_003,7Huqz8HsG7j2gk9INLvhRI,release_month_cos,0.008905217982828617
case_003,7Huqz8HsG7j2gk9INLvhRI,duration_squared,0.00192010507453233
case_004,1VvfQMzVpJ0yLOFgiWNp7O,release_year,8.909052848815918
case_004,1VvfQMzVpJ0yLOFgiWNp7O,speechiness,-1.207153558731079
case_004,1VvfQMzVpJ0yLOFgiWNp7O,acousticness,1.2038803100585938
case_004,1VvfQMzVpJ0yLOFgiWNp7O,loudness_energy,-0.8470428586006165
case_004,1VvfQMzVpJ0yLOFgiWNp7O,duration_min,0.7711163759231567
case_004,1VvfQMzVpJ0yLOFgiWNp7O,energy,0.7350545525550842
case_004,1VvfQMzVpJ0yLOFgiWNp7O,release_month_cos,0.6050322651863098
case_004,1VvfQMzVpJ0yLOFgiWNp7O,liveness,-0.5836531519889832
case_004,1VvfQMzVpJ0yLOFgiWNp7O,decade,0.5776543021202087
case_004,1VvfQMzVpJ0yLOFgiWNp7O,loudness,-0.5744245052337646
case_004,1VvfQMzVpJ0yLOFgiWNp7O,valence,0.5705966353416443
case_004,1VvfQMzVpJ0yLOFgiWNp7O,danceability,-0.3595182001590729
case_004,1VvfQMzVpJ0yLOFgiWNp7O,release_month,0.31806641817092896
case_004,1VvfQMzVpJ0yLOFgiWNp7O,tempo,0.31490135192871094
case_004,1VvfQMzVpJ0yLOFgiWNp7O,energy_danceability,0.2736540734767914
case_004,1VvfQMzVpJ0yLOFgiWNp7O,energy_valence,0.21863171458244324
case_004,1VvfQMzVpJ0yLOFgiWNp7O,mode,0.14364270714577287
case_004,1VvfQMzVpJ0yLOFgiWNp7O,release_month_sin,-0.12058468163013458
case_004,1VvfQMzVpJ0yLOFgiWNp7O,instrumentalness,-0.10272049903869629
case_004,1VvfQMzVpJ0yLOFgiWNp7O,key,-0.1860308286268264
case_004,1VvfQMzVpJ0yLOFgiWNp7O,danceability_valence,0.07484212517738342
case_004,1VvfQMzVpJ0yLOFgiWNp7O,acousticness_instrumentalness,0.0735832080245018
case_004,1VvfQMzVpJ0yLOFgiWNp7O,speechiness_explicit,-0.07213908433914185
case_004,1VvfQMzVpJ0yLOFgiWNp7O,year_in_decade,-0.0672292411327362
case_004,1VvfQMzVpJ0yLOFgiWNp7O,release_precision,0.09783119475468993
case_004,1VvfQMzVpJ0yLOFgiWNp7O,time_signature,0.043203090608585626
case_004,1VvfQMzVpJ0yLOFgiWNp7O,duration_log,0.027538394555449486
case_004,1VvfQMzVpJ0yLOFgiWNp7O,tempo_danceability,-0.021921655163168907
case_004,1VvfQMzVpJ0yLOFgiWNp7O,energy_liveness,0.015403710305690765
case_004,1VvfQMzVpJ0yLOFgiWNp7O,explicit,-0.005653550354736581
case_004,1VvfQMzVpJ0yLOFgiWNp7O,duration_squared,0.0028440544847398996
case_005,4iAZLrr85pfvQWlBeqqrNt,release_year,8.884713172912598
case_005,4iAZLrr85pfvQWlBeqqrNt,release_month,-1.87161386013031
case_005,4iAZLrr85pfvQWlBeqqrNt,acousticness,1.534250259399414
case_005,4iAZLrr85pfvQWlBeqqrNt,danceability,1.3575159311294556
case_005,4iAZLrr85pfvQWlBeqqrNt,decade,0.7542722225189209
case_005,4iAZLrr85pfvQWlBeqqrNt,tempo,-0.7243591547012329
case_005,4iAZLrr85pfvQWlBeqqrNt,year_in_decade,-0.4838995635509491
case_005,4iAZLrr85pfvQWlBeqqrNt,release_month_cos,-0.2857648432254791
case_005,4iAZLrr85pfvQWlBeqqrNt,loudness_energy,-0.27553263306617737
case_005,4iAZLrr85pfvQWlBeqqrNt,energy_danceability,0.25380390882492065
case_005,4iAZLrr85pfvQWlBeqqrNt,liveness,0.25365304946899414
case_005,4iAZLrr85pfvQWlBeqqrNt,mode,-0.24334267526865005
case_005,4iAZLrr85pfvQWlBeqqrNt,release_month_sin,-0.20939001441001892
