rows,proportion,actual_mean,actual_median,predicted_mean,predicted_median,MAE,RMSE,R2,mean_residual,median_residual,residual_std,within_5,within_10,within_15,severe_rate,very_severe_rate,underprediction_rate,overprediction_rate,period,bucket
11736,0.13666216405049142,4.156526925698705,2.0,30.458206176757812,32.648841857910156,26.626827239990234,28.339565653787155,-30.025753021240234,-26.30167686417283,-29.05368137359619,10.552831701483523,0.0514655760054533,0.09049079754601227,0.13394683026584867,0.8660531697341514,0.6684560327198364,0.03229379686434901,0.967706203135651,2010_2019,0
12966,0.15098514136662164,32.43305568409687,33.0,36.17601776123047,36.34952926635742,5.665860652923584,7.449571574136569,-1.084822416305542,-3.7429624311574243,-3.0133323669433594,6.441238013690131,0.5533703532315286,0.8199136202375443,0.9478636433749807,0.05213635662501928,0.00308499151627333,0.2984729291994447,0.7015270708005553,2010_2019,1
30599,0.35631608365550327,49.14971077486192,49.0,36.79023742675781,36.80234146118164,12.476417541503906,13.955917711141616,-5.3494553565979,12.359475538011369,12.266799926757812,6.481695199109437,0.1272917415601817,0.37501225530246085,0.6484198830027125,0.3515801169972875,0.02068695055393967,0.9811104938069871,0.018889506193012842,2010_2019,2
10020,0.11667986398993899,66.09341317365269,65.0,37.86997985839844,37.58212661743164,28.223434448242188,28.90854403903855,-33.38481140136719,28.223434877871515,27.712472915649414,6.256637203796801,0.0,0.0028942115768463075,0.017065868263473054,0.982934131736527,0.6847305389221557,1.0,0.0,2010_2019,3
337,0.003924262890679584,82.62314540059347,82.0,38.677642822265625,38.15150451660156,43.94550323486328,44.235313262744334,-305.83404541015625,43.94550352351248,43.78680419921875,5.062797095638194,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2010_2019,4
5374,0.06257860170478365,4.23725344250093,2.0,35.319297790527344,36.330833435058594,31.091354370117188,32.162793916262935,-36.54214096069336,-31.082044994693554,-33.310007095336914,8.268285132627536,0.008745813174544101,0.0271678451804987,0.052474879047264604,0.9475251209527354,0.7947525120952735,0.0024190547078526236,0.9975809452921474,2020_PLUS,0
1805,0.021018678093995994,32.55623268698061,34.0,34.35738754272461,35.87106704711914,7.324809551239014,9.475131361561573,-1.651700496673584,-1.8011569678288086,-1.9660224914550781,9.304940560107754,0.4598337950138504,0.7113573407202216,0.8681440443213296,0.13185595567867037,0.00886426592797784,0.40775623268698064,0.5922437673130194,2020_PLUS,1
7233,0.08422609343704877,50.447808654776715,51.0,37.065792083740234,37.2543830871582,13.524787902832031,15.023021579168555,-6.0471086502075195,13.38201777918217,14.027069091796875,6.827827095693546,0.12360016590626297,0.30969169086133,0.5550947048251071,0.44490529517489286,0.028757085579980645,0.975390570994055,0.024609429005944976,2020_PLUS,2
5385,0.06270669337183847,67.2347260909935,66.0,38.74087142944336,38.229942321777344,28.493854522705078,29.217841312741818,-29.743253707885742,28.49385378101742,28.062545776367188,6.464541717676814,0.0,0.001671309192200557,0.017084493964716806,0.9829155060352832,0.6900649953574745,1.0,0.0,2020_PLUS,3
421,0.004902417439098234,83.98812351543943,83.0,39.98347854614258,39.39906311035156,44.004642486572266,44.42663286822233,-130.58294677734375,44.00464530002476,44.018821716308594,6.116014703874301,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2020_PLUS,4
