val_start,test_start,train_n,val_n,test_n,train_r,val_r,test_r,score,train_years,val_years,test_years,candidate_id,train_mean_target,train_median_target,train_zero_count,val_mean_target,val_median_target,val_zero_count,test_mean_target,test_median_target,test_zero_count
2005,2014,415524,85272,85876,0.7083,0.1453,0.1464,0.0165,1900-2004,2005-2013,2014-2021,C1,22.88,22.0,35952,37.06,39.0,3144,40.84,45.0,5594
2004,2014,406273,94523,85876,0.6925,0.1611,0.1464,0.0222,1900-2003,2004-2013,2014-2021,C2,22.59,22.0,35918,36.93,38.0,3178,40.84,45.0,5594
2003,2013,398063,92176,96433,0.6785,0.1571,0.1644,0.043,1900-2002,2003-2012,2013-2021,C3,22.31,22.0,35824,36.96,38.0,2567,40.32,45.0,6299
