release_year,rows,cov_80,cov_90,width_80,width_90
2014,11252,0.7624422324920014,0.8708674013508709,41.706184,55.43637
2015,10591,0.7073930695873856,0.838070059484468,41.669685,55.366528
2016,11083,0.7059460434900298,0.840656861860507,41.678917,55.409054
2017,9889,0.6524421073920518,0.7961371220548084,41.833843,55.630333
2018,10936,0.6300292611558157,0.7884052670080468,41.765408,55.444363
2019,11907,0.5914168136390359,0.7821449567481313,41.895176,55.750256
2020,13937,0.5167539642677764,0.7137834541149458,41.847237,55.559547
2021,6281,0.34341665339914024,0.514090113039325,41.975803,55.868126
