candidate,split,rows,ratio,min_year,max_year,unique_years,target_mean,target_median,target_std,target_zero_count,bucket_0_20,bucket_21_40,bucket_41_60,bucket_61_80,bucket_81_100,missing_tempo,missing_time_signature,missing_release_month,track_id_hash
C1,train,415524,0.7083,1900,2004,84,22.88,22.0,15.7718,35952,191117,166481,52252,5609,65,154,160,126895,d3684ebb6ba7744cc3bcf6454bf47521
C1,val,85272,0.1453,2005,2013,9,37.0603,39.0,16.0365,3144,11499,36295,32932,4480,66,34,36,8455,d292e4009b798e3e383b83c51f01ac5d
C1,test,85876,0.1464,2014,2021,8,40.8401,45.0,21.7856,5594,17372,16227,37629,14043,605,140,141,1139,f446764fc87d1c73a5c85095a769b69a
C2,train,406273,0.6925,1900,2003,83,22.5884,22.0,15.6886,35918,190006,161727,49202,5275,63,152,158,125353,c93be9e3a6effae1f4c33a4cf702754c
C2,val,94523,0.1611,2004,2013,10,36.9256,38.0,15.8541,3178,12610,41049,35982,4814,68,36,38,9997,c46af3289450e7acd1d8be48282c8d66
C2,test,85876,0.1464,2014,2021,8,40.8401,45.0,21.7856,5594,17372,16227,37629,14043,605,140,141,1139,f446764fc87d1c73a5c85095a769b69a
C3,train,398063,0.6785,1900,2002,82,22.3077,22.0,15.6035,35824,189018,157610,46382,4995,58,151,157,123974,6569de8690f0627b1456c063e8d98137
C3,val,92176,0.1571,2003,2012,10,36.959,38.0,15.2843,2567,11542,41579,34599,4397,59,30,31,10700,ac073eb1866a0b564c2502931645c0d7
C3,test,96433,0.1644,2013,2021,9,40.3181,45.0,21.5349,6299,19428,19814,41832,14740,619,147,149,1815,9ce9ffc488b8583b26ec1742ef1a3735
